Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;net4g;speed;year;status;dimensions;weight;sim;displaytype;displaysize;displayresolution;os;chipset;cpu;gpu;memoryslot;internalmemory;cam1modules;cam1features;cam1video;cam2modules;cam2video;wlan;bluetooth;gps;radio;usb;sensors;batdescription1;colors;price;batstandby1;battalktime1;memoryother;cam2features;bodyother;displayprotection;models;build;gprstext;edge;featuresother;displayother;optionalother;nfc;batmusicplayback1
https://www.gsmarena.com/blu_g90-10313.php;https://fdn2.gsmarena.com/vv/bigpic/blu-g90.jpg;BLU G90;Released 2020, June 24;185g, 8.8mm thickness;Android 10;64GB storage, microSDXC;3;1.7%;11,120 hits;"6.5""";720x1600 pixels;4 GB RAM;MediaTek Helio A25;4000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 28;HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps;2020, June 24;Available. Released 2020, June 24;164.6 x 76.5 x 8.8 mm (6.48 x 3.01 x 0.35 in);185 g (6.53 oz);Dual SIM (Nano-SIM, dual stand-by);IPS LCD capacitive touchscreen, 16M colors;6.5 inches, 102.0 cm(~81.0% screen-to-body ratio);720 x 1600 pixels, 20:9 ratio (~270 ppi density);Android 10;MediaTek Helio A25 (12 nm);Octa-core (4x1.8 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53);PowerVR GE8320;microSDXC;64GB 4GB RAM;"16 MP, f/2.0, (wide), 1/3.06"", 1.0µm, PDAF8 MP, f/2.2, (ultrawide), 1/4.0"", 1.12µm2 MP, f/2.8, (depth)";LED flash, panorama, HDR;1080p@30fps;13 MP, f/2.0;1080p@30fps;Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, hotspot;4.1, A2DP, LE;Yes, with A-GPS;FM radio;2.0, Type-C 1.0 reversible connector, USB On-The-Go;Fingerprint (rear-mounted), accelerometer, proximity;Removable Li-Po 4000 mAh battery;Black, White, Magenta, Blue;About 130 USD;;;;;;;;;;;;;;;
https://www.gsmarena.com/blu_g80-10312.php;https://fdn2.gsmarena.com/vv/bigpic/blu-g80.jpg;BLU G80;Released 2020, June 24;185g, 8.4mm thickness;Android 10;64GB storage, microSDXC;2;0.5%;3,997 hits;"6.5""";720x1600 pixels;3 GB RAM;MT6763 Helio P23;4000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 12, 17, 28;HSPA 42.2/5.76 Mbps, LTE;2020, June 24;Available. Released 2020, June 24;163.9 x 75.5 x 8.4 mm (6.45 x 2.97 x 0.33 in);185 g (6.53 oz);Dual SIM (Nano-SIM, dual stand-by);IPS LCD capacitive touchscreen, 16M colors;6.5 inches, 102.0 cm(~82.4% screen-to-body ratio);720 x 1600 pixels, 20:9 ratio (~270 ppi density);Android 10;Mediatek MT6763 Helio P23 (16 nm);Octa-core (4x2.0 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53);Mali-G71 MP2;microSDXC;64GB 3GB RAM;"13 MP, f/1.8, (wide), 1/3.06"", 1.12µm, PDAF8 MP, f/2.2, (ultrawide), 1/4.0"", 1.12µm2 MP, f/2.4, (depth)";LED flash, panorama, HDR;1080p@30fps;13 MP, f/2.9;720p@30fps;Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, hotspot;4.1, A2DP, LE;Yes, with A-GPS;FM radio;microUSB 2.0, USB On-The-Go;Fingerprint (rear-mounted), accelerometer, proximity;Removable Li-Po 4000 mAh battery;Black, Green;About 100 USD;;;;;;;;;;;;;;;
https://www.gsmarena.com/blu_studio_x9_hd-10160.php;https://fdn2.gsmarena.com/vv/bigpic/blu-studio-x9-hd.jpg;BLU Studio X9 HD;Released 2020, March 25;144g, 10.1mm thickness;Android 8.1 Oreo;8GB storage, microSDXC;0;0.2%;14,512 hits;"5.0""";720x1280 pixels;1 GB RAM;MT6580;2000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1900 / 2100;;HSPA 21.1/5.76 Mbps;2020, March 25;Available. Released 2020, March 25;143 x 73 x 10.1 mm (5.63 x 2.87 x 0.40 in);144 g (5.08 oz);Dual SIM (Nano-SIM, dual stand-by);IPS LCD capacitive touchscreen, 16M colors;5.0 inches, 68.9 cm(~66.0% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~294 ppi density);Android 8.1 Oreo (Go edition);Mediatek MT6580 (28 nm);Quad-core 1.3 GHz Cortex-A7;Mali-400MP2;microSDXC;8GB 1GB RAM;8 MP;LED flash;1080p@30fps;5 MP;720p@30fps;Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot;4.0, A2DP;Yes, with A-GPS;FM radio;microUSB 2.0;Accelerometer;Li-Ion 2000 mAh battery;Black, White, Blue;About 50 USD;Up to 500 h (3G);Up to 15 h (3G);;;;;;;;;;;;;
https://www.gsmarena.com/blu_j6-10107.php;https://fdn2.gsmarena.com/vv/bigpic/blu-j6.jpg;BLU J6;Released 2019, December;185g, 9.1mm thickness;Android 8.1 Oreo;32GB storage, microSDXC;0;0.2%;16,995 hits;"6.0""";720x1440 pixels;1 GB RAM;MT6580;2800 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1900 / 2100;;HSPA 21.1/5.76 Mbps;2019, December;Available. Released 2019, December;159.6 x 76.6 x 9.1 mm (6.28 x 3.02 x 0.36 in);185 g (6.53 oz);Dual SIM (Nano-SIM, dual stand-by);IPS LCD capacitive touchscreen, 16M colors;6.0 inches, 92.9 cm(~76.0% screen-to-body ratio);720 x 1440 pixels, 18:9 ratio (~268 ppi density);Android 8.1 Oreo (Go edition);Mediatek MT6580 (28 nm);Quad-core 1.3 GHz Cortex-A7;Mali-400;microSDXC;32GB 1GB RAM;"8 MP, (wide), 1/5.0"", 1.12µm, AF";LED flash;720p@30fps;8 MP;720p@30fps;Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot;4.1, A2DP, LE;Yes, with A-GPS;FM radio;microUSB 2.0;Fingerprint (rear-mounted), accelerometer, proximity;Removable Li-Po 2800 mAh battery;Blue, Black, Brown;About 80 EUR;;;eMMC 5.1;LED flash;;;;;;;;;;;
https://www.gsmarena.com/blu_j4-10106.php;https://fdn2.gsmarena.com/vv/bigpic/blu-j4.jpg;BLU J4;Released 2019, October;158g, 10mm thickness;Android 8.1 Oreo;32GB storage, microSDXC;0;0.2%;8,154 hits;"5.5""";720x1440 pixels;1 GB RAM;;2200 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1900 / 2100;;HSPA 21.1/5.76 Mbps;2019, October;Available. Released 2019, October;151 x 72.3 x 10 mm (5.94 x 2.85 x 0.39 in);158 g (5.57 oz);Dual SIM (Nano-SIM, dual stand-by);IPS LCD capacitive touchscreen, 16M colors;5.5 inches, 78.1 cm(~71.5% screen-to-body ratio);720 x 1440 pixels, 18:9 ratio (~293 ppi density);Android 8.1 Oreo (Go edition);;Quad-core 1.3 GHz Cortex-A7;Mali-400;microSDXC;32GB 1GB RAM;8 MP, AF;LED flash;720p@30fps;8 MP;720p@30fps;Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot;4.1, A2DP, LE;Yes, with A-GPS;FM radio;microUSB 2.0;Accelerometer;Removable Li-Po 2200 mAh battery;Blue, Black, Brown;About 70 EUR;;;eMMC 5.1;;;;;;;;;;;;
https://www.gsmarena.com/blu_j2-10105.php;https://fdn2.gsmarena.com/vv/bigpic/blu-j2.jpg;BLU J2;Released 2019, December;146g, 10.3mm thickness;Android 8.1 Oreo;32GB storage, microSDXC;0;N/A;6,403 hits;"5.0""";480x854 pixels;1 GB RAM;;2000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 1900 / 2100;;HSPA 21.1/5.76 Mbps;2019, December;Available. Released 2019, December;144 x 73.1 x 10.3 mm (5.67 x 2.88 x 0.41 in);146 g (5.15 oz);Dual SIM (Nano-SIM, dual stand-by);IPS LCD capacitive touchscreen, 16M colors;5.0 inches, 68.9 cm(~65.4% screen-to-body ratio);480 x 854 pixels, 16:9 ratio (~196 ppi density);Android 8.1 Oreo (Go edition);;Quad-core 1.3 GHz Cortex-A7;Mali-400;microSDXC;32GB 1GB RAM;5 MP;LED flash;720p@30fps;5 MP;720p@30fps;Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot;4.1, A2DP, LE;Yes, with A-GPS;FM radio;microUSB 2.0;Accelerometer;Li-Po 2000 mAh battery;Blue, Black, Brown;About 50 EUR;;;eMMC 5.1;;;;;;;;;;;;
https://www.gsmarena.com/blu_tank_xtreme-10047.php;https://fdn2.gsmarena.com/vv/bigpic/blu-tank-xtreme.jpg;BLU Tank Xtreme;Released 2020, January;178g, 10.2mm thickness;Android 9.0;32GB storage, microSDXC;0;0.2%;17,297 hits;"5.5""";480x960 pixels;2 GB RAM;;4200 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 12, 17, 28;HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps;2020, January;Available. Released 2020, January;153.6 x 71.8 x 10.2 mm (6.05 x 2.83 x 0.40 in);178 g (6.28 oz);Hybrid Dual SIM (Nano-SIM, dual stand-by);IPS LCD capacitive touchscreen, 16M colors;5.5 inches, 78.1 cm(~70.8% screen-to-body ratio);480 x 960 pixels, 18:9 ratio (~195 ppi density);Android 9.0 (Pie);;Quad-core 1.3 GHz Cortex-A53;Mali-T720;microSDXC (uses shared SIM slot);32GB 2GB RAM;13 MP, AF2 MP, (depth);LED flash;1080p@30fps;8 MP;720p@30fps;Wi-Fi 802.11 b/g/n, hotspot;4.0, A2DP;Yes, with A-GPS;FM radio;microUSB 2.0;Fingerprint (rear-mounted), accelerometer, proximity;Non-removable Li-Po 4200 mAh battery;Black;About 130 USD;;;;;IP68 dust/water resistant (up to 1.5m for 30 mins);;;;;;;;;;
https://www.gsmarena.com/blu_g70-10046.php;https://fdn2.gsmarena.com/vv/bigpic/blu-g70.jpg;BLU G70;Released 2020, January;182g, 8.6mm thickness;Android 9.0;32GB storage, microSDXC;3;0.6%;38,964 hits;"6.4""";720x1560 pixels;2 GB RAM;;4000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 12, 17, 28;HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps;2020, January;Available. Released 2020, January;156.8 x 75 x 8.6 mm (6.17 x 2.95 x 0.34 in);182 g (6.42 oz);Dual SIM (Nano-SIM, dual stand-by);IPS LCD capacitive touchscreen, 16M colors;6.4 inches, 100.5 cm(~85.5% screen-to-body ratio);720 x 1560 pixels, 19.5:9 ratio (~268 ppi density);Android 9.0 (Pie);;Octa-core 2.0 GHz Cortex-A53;Mali-G71;microSDXC (dedicated slot);32GB 2GB RAM;13 MP, AF2 MP, (depth);LED flash;1080p@30fps;8 MP;720p@30fps;Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, hotspot;4.0, A2DP;Yes, with A-GPS;FM radio;2.0, Type-C 1.0 reversible connector;Fingerprint (rear-mounted), accelerometer, proximity;Removable Li-Po 4000 mAh battery;Black, Blue, Green;About 100 USD;;;;;;;;;;;;;;;
https://www.gsmarena.com/blu_g60-10045.php;https://fdn2.gsmarena.com/vv/bigpic/blu-g60.jpg;BLU G60;Released 2020, January;170g, 9.5mm thickness;Android 9.0;64GB storage, microSDXC;0;0.3%;18,896 hits;"6.1""";720x1520 pixels;3 GB RAM;;4000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 12, 17, 28;HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps;2020, January;Available. Released 2020, January;156.5 x 73.6 x 9.5 mm (6.16 x 2.90 x 0.37 in);170 g (6.00 oz);Dual SIM (Nano-SIM, dual stand-by);IPS LCD capacitive touchscreen, 16M colors;6.1 inches, 92.9 cm(~80.6% screen-to-body ratio);720 x 1520 pixels, 19:9 ratio (~276 ppi density);Android 9.0 (Pie);;Octa-core 1.6 GHz Cortex-A55;IMG8322;microSDXC (dedicated slot);64GB 3GB RAM;13 MP, AF2 MP, (depth);LED flash;1080p@30fps;13 MP;720p@30fps;Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot;4.1, A2DP, LE;Yes, with A-GPS;FM radio;microUSB 2.0;Fingerprint (rear-mounted), accelerometer, proximity;Removable Li-Po 4000 mAh battery;Black, Blue, Red;About 100 USD;;;;;;;;;;;;;;;
https://www.gsmarena.com/blu_view_1-9994.php;https://fdn2.gsmarena.com/vv/bigpic/blu-view1.jpg;BLU View 1;Released 2019, November;153g, 10.1mm thickness;Android 9.0;16GB storage, microSDXC;0;0.1%;16,513 hits;"5.5""";480x960 pixels;2 GB RAM;MT6739;2500 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 1700(AWS) / 1900;2, 4, 5, 12, 13, 66, 71;HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps;2019, November;Available. Released 2019, November;142.2 x 71.1 x 10.1 mm (5.60 x 2.80 x 0.40 in);153 g (5.40 oz);Dual SIM (Nano-SIM, dual stand-by);IPS LCD capacitive touchscreen, 16M colors;5.5 inches, 78.1 cm(~77.2% screen-to-body ratio);480 x 960 pixels, 18:9 ratio (~195 ppi density);Android 9.0 (Pie);Mediatek MT6739 (28 nm);Quad-core 1.5 GHz Cortex-A53;PowerVR GE8100;microSDXC;16GB 2GB RAM;8 MP;LED flash;1080p@30fps;5 MP;720p@30fps;Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot;4.1, A2DP, LE;Yes, with A-GPS;FM radio;microUSB 2.0;Accelerometer, proximity;Removable Li-Po 2500 mAh battery;Black;;;;eMMC 5.1;;;;;;;;;;;;
